
|                                                                                :pr/k | :nec |                                    :imt/name | :imt/nec |                                                                :obs |
|                                                                   auto-romariz-01148 | 1148 |                                 Auto Romariz |     1148 |                                                                     |
|                                                                 auto-carnaxide-01149 | 1149 |                               Auto Carnaxide |     1149 |                                                                     |
|                                                                         global-01150 | 1150 |                                       Global |     1150 |                                                                     |
|                                                                  vale-figueira-01151 | 1151 |                                Vale Figueira |     1151 |                                                                     |
|                                                                       5-quinas-01152 | 1152 |                                     5 Quinas |     1152 |                                                                     |
|                                                                 jante-integral-01153 | 1153 |                               Jante Integral |     1153 |                                                                     |
|                                                                           ariz-01154 | 1154 |                                         Ariz |     1154 |                                                                     |
|                                                            miramaia-guardeiras-01155 | 1155 |                         Mira Maia Guardeiras |     1155 |                                                                     |
|                                                               ferreira-honrado-01156 | 1156 |                           Ferreira e Honrado |     1156 |                                                                     |
|                                                                    instrucosta-01157 | 1157 |                                  Instrucosta |     1157 |                                                                     |
|                                                                      fatimense-01158 | 1158 |                                    Fatimense |     1158 |                                                                     |
|                                                                    vila-portel-01159 | 1159 |                                  Vila Portel |     1159 |                                                                     |
|                                                                 cidade-florida-01161 | 1161 |                               Cidade Florida |     1161 |                                                                     |
|                                                                      do-juncal-01162 | 1162 |                                       Juncal |     1162 |                                license 1162 is 'Da Serra' in imt.pt |
|                                                                      riachense-01163 | 1163 |                                    Riachense |     1163 |                                                                     |
|                                                                     freixieiro-01164 | 1164 |                                   Freixieiro |     1164 |                                                                     |
|                                                                        rodovia-01165 | 1165 |                                      Rodovia |     1165 |                                                                     |
|                                                                     venda-nova-01166 | 1166 |                                   Venda Nova |     1166 |                                                                     |
|                                                                       livracao-01167 | 1167 |                                  De Livração |     1167 |                                                                     |
|                                                                         canedo-01168 | 1168 |                                       Canedo |     1168 |                                                                     |
|                                                                   boa-formacao-01169 | 1169 |                                 Boa Formação |     1169 |                                                                     |
|                                                              esteves-da-vieira-01170 | 1170 |                            Esteves da Vieira |     1170 |                                                                     |
|                                                                          macao-01171 | 1171 |                                        Mação |     1171 |                              duplicate license 1171 is 'Abranjovem' |
|                                                                  dois-volantes-01172 | 1172 |                                Dois Volantes |     1172 |                                                                     |
|                                                                       nova-via-01173 | 1173 |                                     Nova Via |     1173 |                                                                     |
|                                                                  vila-lusitano-01174 | 1174 |                                Vila Lusitano |     1174 |                                                                     |
|                                                                  santa-eugenia-01175 | 1175 |                                Santa Eugénia |     1175 |                                                                     |
|                                                                       golfinho-01176 | 1176 |                                     Golfinho |     1176 |                                                                     |
|                                                            s-vicente-de-alfena-01177 | 1177 |                         S. Vicente de Alfena |     1177 |                                                                     |
|                                                                    o-motorista-01179 | 1179 |                                  O Motorista |     1179 |                           license 1179 is 'Montenegrense' in imt.pt |
|                                                                 vila-de-oeiras-01180 | 1180 |                               Vila de Oeiras |     1180 |                                                                     |
|                                                                       ebenezer-01181 | 1181 |                                     Ebenézer |     1181 |                                                                     |
|                                                                      rio-tinto-01182 | 1182 |                                    Rio Tinto |     1182 |                                                                     |
|                                                                     das-fontes-01183 | 1183 |                                   Das Fontes |     1183 |                                                                     |
|                                                                   viaensinauto-01184 | 1184 |                                 Viaensinauto |     1184 |                                                                     |
|                                                                todos-os-santos-01185 | 1185 |                              Todos os Santos |     1185 |                                                                     |
|                                                                        rio-ave-01186 | 1186 |                                      Rio Ave |     1186 |                                                                     |
|                                                                         chelas-01187 | 1187 |                                              |          |                               license 1187 is 'Babilónia' in imt.pt |
|                                                                      tondeluir-01188 | 1188 |                                    Tondeluir |     1188 |                                                                     |
|                                                                         freire-01189 | 1189 |                                       Freire |     1189 |                                                                     |
|                                                                  ideal-de-rans-01190 | 1190 |                                Ideal de Rans |     1190 |                                                                     |
|                                                                  via-principal-01191 | 1191 |                                Via Principal |     1191 |                                                                     |
|                                                                    conduvallis-01192 | 1192 |                                   Coduvallis |     1192 |                                                                     |
|                                                             pinheiro-de-loures-01193 | 1193 |                           Pinheiro de Loures |     1193 |                                                                     |
|                                                                          aroes-01194 | 1194 |                                        Arões |     1194 |                                                                     |
|                                                                          alves-01195 | 1195 |                                        Alves |     1195 |                                                                     |
|                                                                        convida-01196 | 1196 |                                      Convida |     1196 |                                                                     |
|                                                                             um-01197 | 1197 |                                           Um |     1197 |                                                                     |
|                                                                 sinal-vertical-01198 | 1198 |                               Sinal Vertical |     1198 |                                                                     |
|                                                                        leziria-01199 | 1199 |                                      Leziria |     1199 |                                                                     |
|                                                                   nova-atitude-01200 | 1200 |                                 Nova Atitude |     1200 |                                                                     |
|                                                                    moncorvense-01201 | 1201 |                                  Moncorvense |     1201 |                 duplicate: license 1201 is 'Mogadourense' in imt.pt |
|                                                             andrade-de-azeitao-01202 | 1202 |                           Andrade de Azeitão |     1202 |                                                                     |
|                                                                     lagoncinha-01203 | 1203 |                                   Lagoncinha |     1203 |                                                                     |
|                                                                  silvino-lopes-01204 | 1204 |                                Silvino Lopes |     1204 |                                                                     |
|                                                                       braguesa-01205 | 1205 |                                     Braguesa |     1205 |                                                                     |
|                                                                        evoluir-01206 | 1206 |                                              |          |                                                                     |
|                                                                        beatriz-01207 | 1207 |                                      Beatriz |     1207 |                                                                     |
|                                                                         avelar-01208 | 1208 |                                       Avelar |     1208 |                                                                     |
|                                                                         dalvor-01209 | 1209 |                                       Dalvor |     1209 |                                                                     |
|                                                                       celeiros-01210 | 1210 |                                     Celeirós |     1210 |                                                                     |
|                                                                       berlenga-01211 | 1211 |                                     Berlenga |     1211 |                                                                     |
|                                                                       cucujaes-01212 | 1212 |                                              |          |                                                                     |
|                                                                        lazarim-01213 | 1213 |                                      Lazarim |     1213 |                                                                     |
|                                                                       prodouro-01214 | 1214 |                                     Prodouro |     1214 |                                                                     |
|                                                                nova-asseiceira-01215 | 1215 |                              Nova Asseiceira |     1215 |                                                                     |
|                                                           caloira-de-estarreja-01216 | 1216 |                                              |          |                                                                     |
|                                                               estrela-do-caima-01216 | 1216 |                                              |          |                                                                     |
|                                                                         actual-01218 | 1218 |                                       Actual |     1218 |                                                                     |
|                                                                           mare-01219 | 1219 |                                         Maré |     1219 |                                                                     |
|                                                                   lobos-do-mar-01220 | 1220 |                                 Lobos do Mar |     1220 |                                                                     |
|                                                                   odivelcartas-01221 | 1221 |                                              |          |                                                                     |
|                                                                     poceirense-01222 | 1222 |                                   Poceirense |     1222 |                                                                     |
|                                                                 pereira-tostao-01223 | 1223 |                             Pereira & Tostão |     1223 |                                                                     |
|                                                                        campeao-01224 | 1224 |                                      Campeão |     1224 |                                                                     |
|                                                                      defensiva-01225 | 1225 |                                    Defensiva |     1225 |                                                                     |
|                                                                    prior-velho-01226 | 1226 |                                  Prior Velho |     1226 |                                                                     |
|                                                                       penafiel-01227 | 1227 |                                              |          |                                                                     |
|                                                                    preferencia-01228 | 1228 |                                  Preferência |     1228 |                                                                     |
|                                                                     sete-saias-01229 | 1229 |                                   Sete Saias |     1229 |                                                                     |
|                                                                      venezuela-01230 | 1230 |                                              |          |                                                                     |
|                                                                     porto-alto-01231 | 1231 |                                   Porto Alto |     1231 |                                                                     |
|                                                              a-nova-de-mozelos-01232 | 1232 |                                              |          |                            license 1232 is 'Irmãos Couto' in imt.pt |
|                                                                  granja-parque-01233 | 1233 |                                Granja Parque |     1233 |                                                                     |
|                                                                         lumiar-01234 | 1234 |                                       Lumiar |     1234 |                                                                     |
|                                                                         gemeos-01235 | 1235 |                                       Gémeos |     1235 |                                                                     |
|                                                                        rio-sul-01236 | 1236 |                                      Rio Sul |     1236 |                                                                     |
|                                                                      cesarense-01237 | 1237 |                                              |          |                                                                     |
|                                                                   a-sul-parque-01238 | 1238 |                                 A Sul Parque |     1238 |                                                                     |
|                                                                   nova-geracao-01240 | 1240 |                                 Nova Geração |     1240 |                                                                     |
|                                                                    francipaulo-01241 | 1241 |                                  Francipaulo |     1241 |                                                                     |
|                                                                      altamente-01242 | 1242 |                                    Altamente |     1242 |                                                                     |
|                                                                        queijas-01243 | 1243 |                                      Queijas |     1243 |                                                                     |
|                                                                     via-segura-01244 | 1244 |                                              |          |                                                                     |
|                                                               alto-dos-moinhos-01245 | 1245 |                             Alto dos Moinhos |     1245 |                                                                     |
|                                                                        frclixa-01246 | 1246 |                                     FRC-Lixa |     1246 |                                                                     |
|                                                                   do-almirante-01247 | 1247 |                                    Almirante |     1247 |                                                                     |
|                                                          coimbra-de-santa-iria-01248 | 1248 |                        Coimbra de Santa Iria |     1248 |                                                                     |
|                                                                       convento-01249 | 1249 |                                     Convento |     1249 |                                                                     |
|                                                                          globo-01250 | 1250 |                                        Globo |     1250 |                                                                     |
|                                                                          estoi-01251 | 1251 |                                        Estói |     1251 |                                                                     |
|                                                            sentido-obrigatorio-01252 | 1252 |                          Sentido Obrigatório |     1252 |                                                                     |
|                                                                            j-l-01253 | 1253 |                                        J. L. |     1253 |                                                                     |
|                                                                      nova-expo-01254 | 1254 |                                    Nova Expo |     1254 |                                                                     |
|                                                                   fidalguinhos-01255 | 1255 |                                 Fidalguinhos |     1255 |                                                                     |
|                                                                   campo-grande-01256 | 1256 |                                 Campo Grande |     1256 |                                                                     |
|                                                                        inicios-01257 | 1257 |                                              |          |                                                                     |
|                                                                   siiimpletejo-01257 | 1257 |                                              |          |                                                                     |
|                                                                        espiral-01258 | 1258 |                                              |          |                           license 1258 is 'Nova Malveira' in imt.pt |
|                                                                       topdrive-01259 | 1259 |                                     Topdrive |     1259 |                                                                     |
|                                                                           aleu-01260 | 1260 |                                         Aléu |     1260 |                                                                     |
|                                                                     areias-mar-01261 | 1261 |                                   Areias Mar |     1261 |                                                                     |
|                                                                        jupiter-01262 | 1262 |                                      Júpiter |     1262 |                                                                     |
|                                                              parque-das-nacoes-01263 | 1263 |                            Parque das Nações |     1263 |                                                                     |
|                                                                            max-01264 | 1264 |                                          Max |     1264 |                                                                     |
|                                                                    nova-imagem-01265 | 1265 |                                  Nova Imagem |     1265 |                                                                     |
|                                                                pedras-salgadas-01266 | 1266 |                              Pedras Salgadas |     1266 |                                                                     |
| carristur-inovacao-em-transportes-urbanos-e-regionais-sociedade-unipessoal-lda-01267 | 1267 |                                              |          |                                                                     |
|                                                                   o-pelourinho-01268 | 1268 |                                              |          |                                                                     |
|                                                                     centro-sul-01269 | 1269 |                                              |          |                         license 1269 is 'Cova da Piedade' in imt.pt |
|                                                                      via-vanda-01270 | 1270 |                                    Via Vanda |     1270 |                                                                     |
|                                                                          belas-01271 | 1271 |                                        Belas |     1271 |                                                                     |
|                                                                      malvarosa-01272 | 1272 |                                    Malvarosa |     1272 |                                                                     |
|                                                                      net-rodas-01273 | 1273 |                                    Net Rodas |     1273 |                                                                     |
|                                                                    alcabideche-01274 | 1274 |                                  Alcabideche |     1274 |                                                                     |
|                                                                  cais-do-sodre-01275 | 1275 |                                Cais do Sodré |     1275 |                                                                     |
|                                                                          norte-01276 | 1276 |                                              |          |                                                                     |
|                                                                  hora-de-ponta-01277 | 1277 |                                Hora de Ponta |     1277 |                                                                     |
|                                                                     auto-corgo-01278 | 1278 |                                   Auto Corgo |     1278 |                                                                     |
|                                                                     seixalinho-01279 | 1279 |                                   Seixalinho |     1279 |                                                                     |
|                                                                    laranjeiras-01280 | 1280 |                                  Laranjeiras |     1280 |                                                                     |
|                                                                         belqui-01281 | 1281 |                                              |          |                                                                     |
|                                                                    vale-mourao-01282 | 1282 |                                  Vale Mourão |     1282 |                                                                     |
|                                                                 helder-pereira-01283 | 1283 |                               Helder Pereira |     1283 |                                                                     |
|                                                                   profissional-01284 | 1284 |                                 Profissional |     1284 |                                                                     |
|                                                                       charneca-01285 | 1285 |                                     Charneca |     1285 |                                                                     |
|                                                                    porto-salvo-01286 | 1286 |                                  Porto Salvo |     1286 |                                                                     |
|                                                                     montejunto-01287 | 1287 |                                   Montejunto |     1287 |                                                                     |
|                                                                      xperfeito-01288 | 1288 |                                              |          |                                                                     |
|                                                                  nova-de-loule-01289 | 1289 |                                Nova de Loulé |     1289 |                                                                     |
|                                                                   conduza-mais-01290 | 1290 |                                              |          |                                                                     |
|                                                                         oitava-01291 | 1291 |                                              |          |                           license 1291 is 'Nova Caparica' in imt.pt |
|                                                                    gama-barros-01292 | 1292 |                                  Gama Barros |     1292 |                                                                     |
|                                                                       marrazes-01293 | 1293 |                                     Marrazes |     1293 |                                                                     |
|                                                                          seven-01294 | 1294 |                                        Seven |     1294 |                                                                     |
|                                                                       planicie-01296 | 1296 |                                     Planície |     1296 |                                                                     |
|                                                                         caldas-01297 | 1297 |                                       Caldas |     1297 |                                                                     |
|                                                                        cascais-01298 | 1298 |                                      Cascais |     1298 |                                                                     |
|                                                                     eficiencia-01299 | 1299 |                                   Eficiência |     1299 |                                                                     |
|                                                                        brandoa-01300 | 1300 |                                              |          |                                                                     |
|                                                                       triplo-s-01301 | 1301 |                                              |          |                              license 1301 is 'Alto Nível' in imt.pt |
|                                                                       gueifaes-01304 | 1304 |                                     Gueifães |     1304 |                                                                     |
|                                                                      universia-01305 | 1305 |                                    Universia |     1305 |                                                                     |
|                                                                     dinossauro-01306 | 1306 |                                   Dinossauro |     1306 |                                                                     |
|                                                                       sudoeste-01308 | 1308 |                                     Sudoeste |     1308 |                                                                     |
|                                                                        granvia-01309 | 1309 |                                      Granvia |     1309 |                                                                     |
|                                                                    eco-brandoa-01310 | 1310 |                                  Eco Brandoa |     1310 |                                                                     |
|                                                                      moliceiro-01311 | 1311 |                                    Moliceiro |     1311 |                                                                     |
|                                                                guimaraescidade-01312 | 1312 |                              Guimaraescidade |     1312 |                                                                     |
|                                                                      via-drive-01313 | 1313 |                                    Via Drive |     1313 |                                                                     |
|                                                                         malhoa-01314 | 1314 |                                       Malhoa |     1314 |                                     duplicate nec with another name |
|                                                                       prestige-01314 | 1314 |                                     Prestige |     1314 |                           archived school with the same license nr. |
|                                                                          solum-01315 | 1315 |                                        Solum |     1315 |                                                                     |
|                                                                       barrosas-01316 | 1316 |                                              |          |                         license 1316 is 'José Luís Cunha' in imt.pt |
|                                                                        taveiro-01318 | 1318 |                                      Taveiro |     1318 |         lic. 1318 has 2 profiles 'Medieval' and 'Taveiro' in imt.pt |
|                                                                       medieval-01319 | 1319 |                                     Medieval |     1319 |                                                                     |
|                                                          conduzir-em-seguranca-01320 | 1320 |                        Conduzir em Segurança |     1320 |                                                                     |
|                                                                    porto-bessa-01321 | 1321 |                                  Porto Bessa |     1321 |                                                                     |
|                                                                 nova-de-aveiro-01322 | 1322 |                               Nova de Aveiro |     1322 |                                                                     |
|                                                                nova-de-peniche-01323 | 1323 |                              Nova de Peniche |     1323 |                                                                     |
|                                                               torre-da-marinha-01324 | 1324 |                             Torre da Marinha |     1324 |                                                                     |
|                                                                    bruno-neves-01325 | 1325 |                                  Bruno Neves |     1325 |                                                                     |
|                                                                  siiimplelegre-01326 | 1326 |                                              |          |                                                                     |
|                                                                          rpm32-01327 | 1327 |                                        RPM32 |     1327 |                                                                     |
|                                                                         classe-01328 | 1328 |                                       Classe |     1328 |                                                                     |
|                                                                   novo-engenho-01329 | 1329 |                                 Novo Engenho |     1329 |                                                                     |
|                                                                       aqueduto-01330 | 1330 |                                     Aqueduto |     1330 |                                                                     |
|                                                             nova-de-albergaria-01331 | 1331 |                           Nova de Albergaria |     1331 |                                                                     |
|                                                          povoa-de-santo-adriao-01332 | 1332 |                        Póvoa de Santo Adrião |     1332 |                                                                     |
|                                                                    nova-rainha-01333 | 1333 |                                  Nova Rainha |     1333 |                                                                     |
|                                                                            abs-01334 | 1334 |                                          ABS |     1334 |                                                                     |
|                                                                     leiridrive-01335 | 1335 |                                   Leiridrive |     1335 |                                                                     |
|                                                                   nova-paredes-01336 | 1336 |                                 Nova Paredes |     1336 |                                                                     |
|                                                                   via-dinamica-01337 | 1337 |                                 Via Dinâmica |     1337 |                                                                     |
|                                                                         limits-01338 | 1338 |                                       Limits |     1338 |                                                                     |
|                                                               seguranca-activa-01339 | 1339 |                             Segurança Activa |     1339 |                                                                     |
|                                                                         louzan-01340 | 1340 |                 Escola de Condução de Louzan |     1340 |                                                                     |
|                                                                       positiva-01341 | 1341 |                  Escola de Condução Positiva |     1341 |                                                                     |
|                                                                casal-de-cambra-01342 | 1342 |           Escola de Condução Casal de Cambra |     1342 |                                                                     |
|                                                                   castro-daire-01343 | 1343 |                                 Castro Daire |     1343 |                                                                     |
|                                                                   nova-marinha-01345 | 1345 |                                              |          |                                                                     |
|                                                                        tecnica-01346 | 1346 |                                 E.C. Técnica |     1346 |                                                                     |
|                                                                       olidrive-01347 | 1347 |                  Escola de Condução Olidrive |     1347 |                                                                     |
|                                                                         bustos-01348 | 1348 |                 Escola de Condução de Bustos |     1348 |                                                                     |
|                                                                  nova-de-tomar-01349 | 1349 |                                Nova de Tomar |     1349 |                                                                     |
|                                                                      nova-mira-01349 | 1349 |                                              |          |                  prob. same as nova-de-tomar-01349. data until 2018 |
|                                                                      carristur-01350 | 1350 |                                    Carristur |     1350 |                                                                     |
|                                                              faro-em-movimento-01351 | 1351 |                            Faro em Movimento |     1351 |                                                                     |
|                                                                        ramalde-01352 | 1352 |                                      Ramalde |     1352 |                                                                     |
|                                                                   universidade-01353 | 1353 |                                 Universidade |     1353 |                                                                     |
|                                                                        balasar-01354 | 1354 |                                              |          |                                                                     |
